stateAbbr,placeName,population2010,noHealthInsurance,highBP,asthma,smoker,noLeisureExercise,obeese,sleepDeprived
CO,Loveland,66859,11.1,24.4,9.3,15.7,17.9,22.8,27
CO,Pueblo,106595,21,29.1,9.7,19.9,28.6,32,35.1
CO,Thornton,118772,15.7,24.6,9.7,17.4,22,27.4,30.6
CO,Westminster,106114,12.7,23.7,9.4,15.7,19.5,24,28.7
CT,Bridgeport,144229,19.2,32,10.9,18.1,29.7,29.9,40.1
CT,Danbury,80893,14.3,25.9,9.8,15.7,23.7,23.4,35.7
CT,Hartford,124775,20.5,37.6,11.7,19.4,35.2,38.2,41
CT,New Britain,73206,16.7,32.2,10.8,18.4,30.8,33,37.3
CT,New Haven,129779,15.2,35.5,11.7,17.9,31.2,36.4,40.8
CT,Norwalk,85603,12.3,25.6,9.5,13.3,21.3,23.1,34.7
CT,Stamford,122643,12,25.3,9.2,12.5,20.8,22.5,34.5
CT,Waterbury,110366,17.3,34.1,11.9,20.6,32.9,36.1,40.6
DE,Wilmington,70851,19.4,40.5,12,22.4,38,39.6,43.1
DC,Washington,601723,8.3,30.9,9.9,16.2,24.6,26.7,36.7
FL,Boca Raton,84392,16.1,25.8,7.7,15.2,23.7,21.8,36.1
FL,Boynton Beach,68217,22.8,31.8,9,20.8,31.3,27.4,41.5
FL,Cape Coral,154305,22.1,29.7,8.2,18.9,28.1,27.5,33.9
FL,Clearwater,107685,22.2,31,8.8,20.9,28,29.4,39.5
FL,Coral Springs,121096,21,29.2,8.3,15.3,27.1,24.1,36
FL,Davie,91992,21.8,28.3,8,15.1,27.1,23.6,35.1
FL,Deerfield Beach,75018,24.7,32.8,9.2,20,31.7,27.5,38.5
FL,Deltona,85182,25.5,32.4,8.9,22.1,30.8,33.1,38.2
FL,Fort Lauderdale,165521,23.1,32.6,8.8,18.3,29.7,27.1,37.7
FL,Gainesville,124354,20.4,35.1,8.7,19,29.2,33.6,38.5
FL,Hialeah,224669,43.4,30.6,7.2,18.9,40.2,34.2,34.7
FL,Hollywood,140768,26.5,31.1,8.5,17.6,31,26.6,37.1
FL,Jacksonville,821784,21,33.5,9.4,21.5,31.1,32.7,38.1
FL,Lakeland,97422,23.6,34.9,9.2,22.4,31.9,36.2,36.7
FL,Largo,77648,21.6,30.9,8.9,22.2,28.6,29.1,39.8
FL,Lauderhill,66887,28.2,41,10.9,22.8,37.4,34.4,44.7
FL,Melbourne,76068,20.5,32.1,8.6,21.3,30.7,31.1,36.6
FL,Miami,399457,35.6,31.5,7.6,19,36.8,33.4,35.2
FL,Miami Beach,87779,24.5,26.5,6.8,15,27.8,27.3,31.1
FL,Miami Gardens,107167,30,38.6,9.9,23.4,37.8,37.8,41.3
FL,Miramar,122041,25,32.9,8.6,14.8,29.6,27.5,38.9
FL,Orlando,238300,23.7,33.1,8.8,17.9,30.6,30.5,37.1
FL,Palm Bay,103190,22.7,33.2,8.9,22,32.2,32.5,37.9
FL,Palm Coast,75180,21,29.8,8.8,21.7,28.8,29.1,36.2
FL,Pembroke Pines,154750,23.7,29.3,7.9,13.7,27.8,24.7,36.1
FL,Plantation,84955,19.4,28.8,8.2,14.3,25.5,23.6,35.5
FL,Pompano Beach,99845,27.3,34,9.2,21,33.2,28.8,39.3
